gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
IL15,-0.02331406891893295,9.479643928525332,-0.45940367913587793,0.6466107353268021,0.7993499628001856,-6.103397908145656
MAP3K20,0.018594706042116747,9.435175297536002,0.45757824473975495,0.6479188954085191,0.8004222544638576,-6.073832536186254
HRAS,0.03283019231709765,9.430880175094083,0.45570391369440627,0.6492632396880282,0.8015377588534734,-6.092738753271539
MAGEA4,0.02959985966548562,9.774226675833741,0.453981646796265,0.6504995357299723,0.8020200378976586,-6.261032326320592
MYBL2,0.021737002805809678,9.47303104829727,0.45365361896492146,0.650735114475011,0.8020200378976586,-6.103014183300265
IL1A,-0.02192874456242695,9.468153401416725,-0.45331432772761376,0.6509788193068,0.8020200378976586,-6.093761477895399
IL13RA1,-0.019407416164012273,9.491287759547376,-0.4524168879843649,0.651623610550658,0.8022701537355897,-6.121556864066392
CXCL11,-0.01838970965283908,9.484897907588833,-0.4510421077995719,0.6526118710377788,0.8029425188378092,-6.088417014539193
RASA4,-0.01769854997048547,9.561393810864647,-0.4486178090394735,0.6543560783434088,0.804543424693047,-6.129135803871671
PIAS4,0.01676299843504024,9.548940979978772,0.4471216804554602,0.6554334488454381,0.804544895670168,-6.155998656116
KLRB1,-0.023248666908537045,9.528272359913856,-0.4470469469272299,0.6554872838967347,0.804544895670168,-6.111423440806005
ID2,0.022490884850210054,9.584240691197516,0.44615481413242836,0.6561300803243776,0.804544895670168,-6.160214755213801
SOD2,-0.019991891599531037,9.5096501813997,-0.4457758824719201,0.6564031847189122,0.804544895670168,-6.113217494537741
BCL6B,-0.019067235487721667,9.48384054206817,-0.44552857187754397,0.6565814519282964,0.804544895670168,-6.102201811236785
NODAL,0.021295250145693948,9.498875996804788,0.44492658200120094,0.6570154627086229,0.804544895670168,-6.146052466599597
NID2,-0.021044234010689583,9.451381487683648,-0.44126401647307345,0.6596585411668425,0.8072371366300445,-6.08723368013518
TNFSF14,-0.02189033509259999,9.488755773158768,-0.4391892140469036,0.6611577244497395,0.8085268872732169,-6.096971664955153
FGF2,-0.017333553090019285,9.481009718984163,-0.4375610570663076,0.6623351390623362,0.8091767611486188,-6.10300908457126
SLC16A2,-0.02214823051984611,9.49617017187733,-0.4370672792933144,0.6626923852083535,0.8091767611486188,-6.110791526047642
TNFRSF13B,-0.022184785033491965,9.586054221882481,-0.4366064096676298,0.6630258923949035,0.8091767611486188,-6.145932782261285
CD47,-0.022620973346426897,9.446488206810741,-0.43252725870578895,0.6659806952282513,0.8121243275929791,-6.115326349988279
OAZ1,0.026789994013012144,9.639000841742943,0.4306944155192234,0.6673100571497517,0.8121243275929791,-6.180261028789075
GADD45A,0.021129490986724186,9.409065575274598,0.4299318537322292,0.667863454668719,0.8121243275929791,-6.079271218357106
MAPT,0.021260631187118042,9.45463896054309,0.4293968382679878,0.668251828825797,0.8121243275929791,-6.099612725816251
TLR8,0.02038810930301016,9.51721076841325,0.42931803100796495,0.6683090435464392,0.8121243275929791,-6.144017101001031
IFI35,-0.016304814521523017,9.536156495383878,-0.4282011536024647,0.6691201148715684,0.8121243275929791,-6.137902856966377
PVR,-0.020880273005451616,9.445468084265123,-0.4276703430337271,0.6695057239159845,0.8121243275929791,-6.093650927159815
POLB,0.021200826311358795,9.53436937046487,0.42736756020153,0.6697257209097264,0.8121243275929791,-6.129265842161116
GHR,-0.015102139539394887,9.514040067634213,-0.4269356194240689,0.6700396114689089,0.8121243275929791,-6.1383471810249794
CD7,0.02008324025074031,9.425833949629563,0.4261153649674596,0.6706358490341933,0.8121243275929791,-6.0953217326572044
