gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
STAT3,-0.1501803910352396,9.496112267503758,-4.023217963374891,9.066064030843162e-5,0.003579124408698083,1.2152202294128092
TAL1,-0.16753243975421275,9.506791840822316,-4.001861491663969,9.837818086271373e-5,0.0037720365711694944,1.1440970883976949
MAPK1,-0.1485452901343058,9.485035677362932,-3.998361089249835,9.970140716747561e-5,0.0037720365711694944,1.1309767403575917
CUL1,0.17279266958491224,9.532144607514114,3.951026628644647,1.1934682312060247e-4,0.0043175444424907,0.9566093058948679
LY6E,-0.18332288701333938,9.466302293686207,-3.9478117242797803,1.2080695313832571e-4,0.0043175444424907,0.953324870710758
ITGA2B,-0.1498622776025649,9.486517195907654,-3.946837815912867,1.2125262476157801e-4,0.0043175444424907,0.9605085439553571
FAM30A,-0.14993916045334893,9.452486935214875,-3.9326062075686994,1.2794643774426744e-4,0.00444868866170044,0.9066017205496175
UBA7,-0.16310993396405765,9.513373067744453,-3.9287189721630917,1.298350765804644e-4,0.00444868866170044,0.8921563700340993
SPRY2,-0.16536602279927312,9.49023172195478,-3.916316818619045,1.3603970858819562e-4,0.004559800218412512,0.8472749172363905
SIRPB2,-0.15365128488723864,9.507020527425757,-3.912318053281793,1.3809967621844062e-4,0.004559800218412512,0.8405863414426014
CD84,-0.1578895404063538,9.483461049944765,-3.900071606722941,1.4459464268190236e-4,0.004688997698398834,0.7960398471039918
DNAJC14,-0.13932205510384876,9.512396624393006,-3.8945313112735294,1.476274759754551e-4,0.004703359585463622,0.7754926516611746
TACSTD2,-0.14494146660209042,9.48731019939784,-3.8767471932287996,1.5777672166916338e-4,0.004940043561227598,0.7135842945589657
ETV1,-0.15076732491706255,9.505649156564786,-3.8510134884051515,1.7364346943920207e-4,0.00534468712714561,0.6263104800184944
SH2D1A,-0.17127414268857102,9.434312376340323,-3.8326122252077943,1.8590634940396746e-4,0.005534051424327624,0.5665398115050104
KIR3DL3,-0.19981062508027495,9.446232319326063,-3.8319482043089423,1.8636387921705253e-4,0.005534051424327624,0.5752001181885218
SFRP2,-0.204610757272804,9.522691459886177,-3.8282411141936414,1.8893787902440128e-4,0.005534051424327624,0.5477302412391483
NFKB1,-0.14871165393251073,9.497945466145117,-3.8127053042468426,2.0009672981094527e-4,0.0056647620956471025,0.4948524673205963
ENG,-0.17527204183684603,9.480228506519522,-3.810668088190933,2.0160554810058078e-4,0.0056647620956471025,0.49028033205051536
CCR7,-0.13542344951832772,9.55417481085448,-3.8091210185766218,2.0275855518560665e-4,0.0056647620956471025,0.48522545932279293
LILRA5,-0.2714840953257237,9.307539790156701,-3.7923823343184693,2.1564029037570852e-4,0.005933375262458889,0.4430359066502376
CXCL14,-0.16082437788010012,9.498234005116108,-3.782530150348139,2.2358125274497093e-4,0.005956492903347832,0.3950749851482058
FGF20,-0.14875050350196548,9.442033947350149,-3.7822636408540964,2.2379986601455898e-4,0.005956492903347832,0.39428497891987213
CDK1,-0.12948904342281217,9.478148856812055,-3.7792084721618817,2.263204902703747e-4,0.005956492903347832,0.39006498848860627
WNT7B,-0.16642844583423355,9.513324103971671,-3.7523516220951554,2.496663112719729e-4,0.006477057446712896,0.3023444897034393
CNTFR,-0.15337645863960828,9.565078808687089,-3.7334492541064517,2.674461737505194e-4,0.006840595091985116,0.23470732515595927
PMAIP1,-0.16201530121564053,9.445970577242287,-3.725694757331493,2.750814801733801e-4,0.006938166222150809,0.21636968734135653
NDUFA13,0.2074077849383223,9.634239072439698,3.7177646202550907,2.83102830721693e-4,0.007042667679323212,0.18387473250801634
CDC6,-0.13558059582265794,9.512471009119746,-3.712474931117146,2.8857588734405854e-4,0.007081808262389328,0.16293571565789478
HMGB1,-0.1447115598885979,9.473690551936274,-3.6905277515441384,3.1237141328164755e-4,0.007563553153592959,0.10548288369741066
RRAD,-0.1774742930921168,9.467301973028446,-3.6794385962230747,3.2508872961395016e-4,0.007767909644459651,0.07187484765513563
MYD88,-0.17706923726799828,9.464235072510194,-3.6690051369596905,3.3749962149448354e-4,0.007959731332908858,0.025257535013517796
CD48,-0.15143586988553623,9.448764999282641,-3.6619549175756814,3.461381065859583e-4,0.007983480898519546,0.011179388026214987
AQP9,-0.14456006055289347,9.472737234432,-3.6610201618998612,3.472990038452886e-4,0.007983480898519546,0.002279496033914974
SPOP,-0.1545908996660625,9.429499894683556,-3.6538332372063316,3.563482779913278e-4,0.008089105910403141,-0.007186946996541543
IL11RA,0.16122878659712214,9.70933638898371,3.6057361650580853,4.22887332042894e-4,0.009206708702394007,-0.19183343195966351
SIGLEC5,-0.16276491236812168,9.453751382027123,-3.6023099680672446,4.28049191426304e-4,0.009206708702394007,-0.18279727060120443
FGF11,-0.1461499894001385,9.476174483814448,-3.5993671385069326,4.3253019257425963e-4,0.009206708702394007,-0.19258753462663236
YTHDF2,-0.14049425855473757,9.460870921510368,-3.5948580191190898,4.3948205484693195e-4,0.009206708702394007,-0.2139545251542705
RB1,-0.14200099977024536,9.463412929943216,-3.594659829642159,4.397900140657892e-4,0.009206708702394007,-0.2110400307704694
MS4A2,-0.1412750161086429,9.47616662869758,-3.5946480119660227,4.3980838353666166e-4,0.009206708702394007,-0.21432699281334955
CYP8B1,0.14364630424549507,9.566821858781726,3.591529473946153,4.4468122149948465e-4,0.009206708702394007,-0.23794504364715063
FZD10,-0.13050772579423944,9.479190297345044,-3.589824545802608,4.473667111306781e-4,0.009206708702394007,-0.22809935402071346
WNT10A,-0.14798386521744378,9.56018428946641,-3.586048740697363,4.533686240591901e-4,0.009206708702394007,-0.22948809879656373
PKP3,-0.15055532119745407,9.434571416866076,-3.5842343705296917,4.5627961630807307e-4,0.009206708702394007,-0.24233193451205537
